gene,chromosome,start,end,band,length,type
SLC6A15,chr12,85253492,85307394,12q,53902,protein-coding
RNU4-19P,chr1,155864072,155864177,1q,105,NA
IMPDH1P10,chr2,202002239,202004750,2q,2511,pseudogene
RNA5SP125,chr3,25066498,25066617,3p,119,pseudogene
CTBP2P4,chr5,97912045,97912964,5q,919,pseudogene
BMPR1A,chr10,88516407,88692595,10q,176188,protein-coding
SNORA42,chr1,155889700,155889836,1q,136,NA
CFL1P7,chr3,25365665,25366150,3p,485,pseudogene
SCARNA4,chr1,155895749,155895877,1q,128,snoRNA
POLR1C,chr6,43477440,43497323,6p,19883,protein-coding
UBL3,chr13,30338508,30424821,13q,86313,protein-coding
ETF1P3,chrX,65014187,65015677,Xq,1490,pseudogene
BCHE,chr3,165490692,165555260,3q,64568,protein-coding
RNA5SP497,chr22,33031088,33031184,22q,96,pseudogene
COX20P2,chr2,231822308,231822665,2q,357,pseudogene
CFLAR-AS1,chr2,202005007,202022546,2q,17539,ncRNA
DGCR6,chr22,18893541,18901751,22q,8210,protein-coding
COMP,chr19,18893583,18902123,19p,8540,protein-coding
RNA5SP126,chr3,25393775,25393883,3p,108,pseudogene
ATXN3L,chrX,13336770,13338518,Xp,1748,protein-coding
MRPL49P1,chr5,63970680,63971214,5q,534,pseudogene
MIR548H2,chr16,11400297,11400384,16p,87,NA
SIGLEC18P,chr19,51623244,51626222,19q,2978,pseudogene
CNTF,chr11,58390146,58393198,11q,3052,protein-coding
CD207,chr2,71057347,71062952,2p,5605,protein-coding
NREP,chr5,110998318,111333161,5q,334843,protein-coding
SPATA3-AS1,chr2,231849083,231860747,2q,11664,ncRNA
MIR9-1,chr1,156390123,156390230,1q,107,NA
RNU7-45P,chr2,202006627,202006689,2q,62,pseudogene
C8orf48,chr8,13424352,13425796,8p,1444,NA
NMBR,chr6,142379467,142409936,6q,30469,protein-coding
OPLAH,chr8,145106167,145118735,8q,12568,protein-coding
ARHGAP42P5,chr14,19400329,19403264,14q,2935,pseudogene
MIR4442,chr3,25706364,25706430,3p,66,NA
MTND5P25,chr2,202077006,202077804,2q,798,pseudogene
CRIP1P2,chr3,25728387,25728614,3p,227,pseudogene
TCTEX1D4,chr1,45271585,45272957,1p,1372,NA
MTND4P23,chr2,202078021,202079383,2q,1362,pseudogene
RAD51D,chr17,33426811,33448541,17q,21730,protein-coding
PTPLAD1,chr15,65822756,65870687,15q,47931,NA
RN7SL522P,chr16,11571888,11572132,16p,244,NA
SNORA70B,chr2,61644379,61644513,2p,134,snoRNA
MTCH1,chr6,36935917,36954074,6p,18157,protein-coding
MIR223,chrX,65238712,65238821,Xq,109,NA
GLYAT,chr11,58407899,58499447,11q,91548,protein-coding
FZD10,chr12,130647004,130650285,12q,3281,protein-coding
AMPD3,chr11,10329860,10529126,11p,199266,protein-coding
SGCZ,chr8,13947373,15095848,8p,1148475,protein-coding
HNRNPA1P4,chr8,83203859,83204614,8q,755,pseudogene
SLC9B1P2,chr2,92071102,92119740,2p,48638,pseudogene
VPS39,chr15,42450899,42500514,15q,49615,protein-coding
BCAR4,chr16,11913686,11922702,16p,9016,ncRNA
FAM195A,chr16,691813,698474,16p,6661,NA
EIF4BP9,chrX,65294677,65296189,Xq,1512,pseudogene
PCMTD1P2,chr16,33941656,33942010,16p,354,pseudogene
BTBD19,chr1,45274154,45281257,1p,7103,protein-coding
MTND4P29,chr2,202419107,202420774,2q,1667,pseudogene
RAB1B,chr11,66036004,66044963,11q,8959,protein-coding
MIR5586,chr14,60113680,60113738,14q,58,NA
CS,chr12,56665483,56694176,12q,28693,protein-coding
MTND5P31,chr2,202421615,202422988,2q,1373,pseudogene
MIR143,chr5,148808481,148808586,5q,105,NA
PKMP2,chrX,65717590,65719266,Xq,1676,pseudogene
SIGLEC17P,chr19,51670585,51676780,19q,6195,pseudogene
RNU1-93P,chr2,231998176,231998344,2q,168,pseudogene
RPEP1,chr5,64546954,64547611,5q,657,pseudogene
RNU6-774P,chr4,85154810,85154916,4q,106,pseudogene
RSL24D1P3,chr7,64800087,64800581,7q,494,pseudogene
TGFBR3L,chr19,7981030,7983982,19p,2952,protein-coding
COMMD1,chr2,62115859,62374382,2p,258523,protein-coding
EGFL6,chrX,13587724,13651694,Xp,63970,protein-coding
ENO1P4,chr2,202486369,202488153,2q,1784,pseudogene
MIR4777,chr2,232227419,232227504,2q,85,NA
LINC00273,chr16,33961052,33962503,16p,1451,ncRNA
PPAPDC1A,chr10,122216466,122349367,10q,132901,NA
TMEM105,chr17,79285074,79304474,17q,19400,ncRNA
RNU6-827P,chr2,79109573,79109678,2p,105,pseudogene
COX6CP1,chr16,11997780,11997994,16p,214,pseudogene
MIR145,chr5,148809849,148812397,5q,2548,NA
TKTL1,chrX,153524024,153558700,Xq,34676,protein-coding
RNA5-8SP2,chr16,33965426,33965577,16p,151,pseudogene
RNU6-812P,chr2,79109754,79109860,2p,106,pseudogene
IL1R1,chr2,102681004,102796334,2q,115330,protein-coding
RPL3P13,chr4,85465457,85465672,4q,215,pseudogene
ZBTB8OSP2,chr2,232298634,232299137,2q,503,pseudogene
UBL5P4,chr16,12062365,12062600,16p,235,pseudogene
RN7SL552P,chr4,85608881,85609171,4q,290,pseudogene
WDFY3-AS1,chr4,85724411,85731544,4q,7133,ncRNA
SNORA75,chr2,232320511,232320647,2q,136,snoRNA
RNU6-469P,chr4,85807539,85807639,4q,100,pseudogene
SNORD20,chr2,232321155,232321234,2q,79,snoRNA
TPM3P3,chr8,85074353,85074706,8q,353,pseudogene
REG1P,chr2,79362629,79365553,2p,2924,NA
MIR4764,chr22,33832568,33832655,22q,87,NA
SNORD82,chr2,232325082,232325151,2q,69,snoRNA
WDFY3-AS2,chr4,85887538,85932430,4q,44892,ncRNA
RNU1-39P,chr5,178311716,178311880,5q,164,pseudogene
RNU2-22P,chr2,232366701,232366912,2q,211,pseudogene
LARGE-IT1,chr22,34119818,34120898,22q,1080,ncRNA
MIR1228,chr12,57588287,57588359,12q,72,NA
RPS23P6,chr16,12175094,12175759,16p,665,pseudogene
RPL29P14,chr5,148924946,148925373,5q,427,pseudogene
ZNF849P,chr19,22867969,22869534,19p,1565,pseudogene
LINC00471,chr2,232373137,232379050,2q,5913,ncRNA
SNAPC2,chr19,7985201,7988135,19p,2934,protein-coding
PIGFP1,chr5,178349065,178349717,5q,652,pseudogene
RPL34P33,chr19,22882154,22882487,19p,333,pseudogene
RNU6-1040P,chr8,85577994,85578100,8q,106,pseudogene
FAM150B,chr2,279558,288851,2p,9293,NA
RNU6-651P,chr2,202511439,202511543,2q,104,pseudogene
LARGE-AS1,chr22,34121000,34146830,22q,25830,ncRNA
RNU6-588P,chr5,148986200,148986304,5q,104,pseudogene
CCNYL3,chr16,34262756,34318684,16p,55928,pseudogene
RN7SL868P,chr5,149101633,149101933,5q,300,pseudogene
CABYR,chr18,21718942,21741567,18q,22625,protein-coding
INTS4L2,chr7,65112777,65180636,7q,67859,NA
BPY2C,chrY,27177048,27208695,Yq,31647,protein-coding
PIWIL1,chr12,130822432,130857182,12q,34750,protein-coding
MIR378A,chr5,149112388,149112453,5q,65,NA
CDH10,chr5,24487209,24645087,5p,157878,protein-coding
TTC23,chr15,99676528,99791428,15q,114900,protein-coding
RN7SKP48,chr4,86021649,86021976,4q,327,pseudogene
RNU7-19P,chr3,73076959,73077024,3p,65,pseudogene
TMEM181,chr6,158957468,159056460,6q,98992,protein-coding
TAF9BP1,chr3,25796416,25797161,3p,745,pseudogene
VN1R87P,chr19,22925726,22926212,19p,486,pseudogene
GLYATL2,chr11,58601542,58671688,11q,70146,protein-coding
UBE2V1P11,chr2,202689271,202689555,2q,284,pseudogene
RNU6-557P,chr3,73141299,73141408,3p,109,pseudogene
ACTBP6,chr8,85860820,85861909,8q,1089,pseudogene
TLK2P1,chr17,32363700,32366891,17q,3191,pseudogene
CCDC170,chr6,151815165,151942328,6q,127163,protein-coding
CASP1P2,chr11,104934072,104942268,11q,8196,pseudogene
IGJP1,chr8,85892308,85892782,8q,474,NA
MIR4451,chr4,86643621,86643686,4q,65,NA
MIR4718,chr16,12814178,12814228,16p,50,NA
RNU6-440P,chr2,202792162,202792266,2q,104,pseudogene
ZNF723,chr19,23015003,23042224,19p,27221,protein-coding
RPEP2,chr3,26057160,26057860,3p,700,pseudogene
RGMB-AS1,chr5,98105322,98109173,5q,3851,ncRNA
CASP1P1,chr11,104993388,104994066,11q,678,pseudogene
HMGN2P23,chr2,113738743,113739011,2q,268,pseudogene
RNA5SP438,chr17,32447075,32447186,17q,111,pseudogene
ZNF250,chr8,146076632,146127553,8q,50921,protein-coding
KATNAL1,chr13,30776767,30881621,13q,104854,protein-coding
VN1R88P,chr19,23044105,23044396,19p,291,pseudogene
RPS20P4,chr5,149401130,149401484,5q,354,pseudogene
KRT18P45,chr5,79584268,79585600,5q,1332,pseudogene
OR2AL1P,chr11,105065167,105065673,11q,506,pseudogene
FMNL3,chr12,50031724,50101948,12q,70224,protein-coding
EXOSC5,chr19,41892279,41903384,19q,11105,protein-coding
RPL7P1,chr5,149473860,149474619,5q,759,pseudogene
CNOT4,chr7,135046547,135194875,7q,148328,protein-coding
HMGB3P12,chr3,26257813,26258368,3p,555,pseudogene
RNU6-1180P,chr2,113844382,113844488,2q,106,pseudogene
C10orf85,chr10,122357721,122359629,10q,1908,NA
CNIH2,chr11,66045661,66052772,11q,7111,protein-coding
PSG7,chr19,43428286,43441330,19q,13044,protein-coding
RNA5SP366,chr12,99477561,99477683,12q,122,pseudogene
LRRC59,chr17,48452420,48474914,17q,22494,protein-coding
NEDD4,chr15,56119120,56285944,15q,166824,protein-coding
GJE1,chr6,142454227,142456288,6q,2061,protein-coding
RPS4XP1,chr12,100402830,100403616,12q,786,pseudogene
RNU4-55P,chr11,105695360,105695496,11q,136,pseudogene
REXO1L8P,chr8,86554958,86556701,8q,1743,pseudogene
PCNAP4,chr11,19296087,19296816,11p,729,pseudogene
REXO1L3P,chr8,86566862,86568611,8q,1749,pseudogene
RNU6-277P,chr11,105845553,105845658,11q,105,pseudogene
FCHSD1,chr5,141018869,141030986,5q,12117,protein-coding
RBMX2P5,chr5,79627392,79628360,5q,968,pseudogene
REXO1L12P,chr8,86726454,86728113,8q,1659,pseudogene
SPSB4,chr3,140770244,140867453,3q,97209,protein-coding
REXO1L9P,chr8,86775087,86776836,8q,1749,pseudogene
PAX8-AS1,chr2,113969099,114034158,2q,65059,ncRNA
REXO1L2P,chr8,86839131,86840877,8q,1746,pseudogene
SUPT3H,chr6,44777054,45345690,6p,568636,protein-coding
PTPN4,chr2,120517207,120741394,2q,224187,protein-coding
GOLGA2P5,chr12,100550135,100567437,12q,17302,pseudogene
NAV2-IT1,chr11,19402031,19406561,11p,4530,ncRNA
ATG2A,chr11,64662007,64684722,11q,22715,protein-coding
PRNP,chr20,4666882,4682236,20p,15354,protein-coding
RNA5SP335,chr11,19423419,19423528,11p,109,pseudogene
NPAT,chr11,108027942,108093369,11q,65427,protein-coding
NAV2-AS5,chr11,19524219,19528776,11p,4557,ncRNA
SNX6P1,chr19,23309371,23310594,19p,1223,pseudogene
C19orf47,chr19,40825443,40854434,19q,28991,NA
RNU6-1170P,chr10,43100606,43100711,10q,105,pseudogene
RN7SL499P,chr2,232510711,232510984,2q,273,pseudogene
GPM6BP1,chrY,20740303,20740446,Yq,143,pseudogene
NAV2-AS4,chr11,19532437,19541443,11p,9006,ncRNA
LTV1,chr6,144164481,144184949,6q,20468,protein-coding
TTTY9B,chrY,20743092,20752407,Yq,9315,ncRNA
TUSC3,chr8,15274724,15624158,8p,349434,protein-coding
MIR4486,chr11,19596857,19596919,11p,62,NA
ZBBX,chr3,166958075,167099134,3q,141059,protein-coding
CUBNP1,chr10,43189819,43210023,10q,20204,pseudogene
CNTN2,chr1,205012325,205047627,1q,35302,protein-coding
MIR1471,chr2,232756952,232757008,2q,56,NA
TRGC2,chr7,38279181,38289173,7p,9992,other
MIR4694,chr11,19781550,19781629,11p,79,NA
VTA1,chr6,142468367,142545826,6q,77459,protein-coding
MIR562,chr2,233037363,233037457,2q,94,NA
NAV2-AS3,chr11,20000245,20002883,11p,2638,ncRNA
TRGJ2,chr7,38292981,38293030,7p,49,other
RNU6-1191P,chr16,81140138,81140244,16q,106,pseudogene
NAV2-AS2,chr11,20065392,20070849,11p,5457,ncRNA
TRGJP2,chr7,38295938,38295997,7p,59,other
ECEL1P3,chr2,233214464,233216019,2q,1555,pseudogene
NTAN1P2,chr8,87493983,87495231,8q,1248,pseudogene
RN7SL750P,chr7,100418651,100418886,7q,235,pseudogene
NAV2-AS1,chr11,20141230,20142178,11p,948,ncRNA
MIR4720,chr16,81418623,81418698,16q,75,NA
TRGC1,chr7,38297480,38305279,7p,7799,other
RN7SL549P,chr7,100503919,100504197,7q,278,pseudogene
SLC2A3P4,chr8,87515820,87517290,8q,1470,pseudogene
RNU6-879P,chr12,57809079,57809186,12q,107,pseudogene
WDR11,chr10,122610687,122669036,10q,58349,protein-coding
ECEL1P2,chr2,233250460,233252167,2q,1707,pseudogene
OFD1P5Y,chrY,20743949,20790963,Yq,47014,pseudogene
TRNT1,chr3,3168600,3192563,3p,23963,protein-coding
RNU6-1184P,chr7,147528862,147528969,7q,107,pseudogene
RNA5SP249,chr7,147546976,147547074,7q,98,pseudogene
RNA5SP336,chr11,21022427,21022543,11p,116,pseudogene
SPECC1,chr17,19912657,20222339,17p,309682,protein-coding
TMEM120A,chr7,75616155,75623977,7q,7822,protein-coding
RN7SL456P,chr7,147637096,147637391,7q,295,pseudogene
ERAL1,chr17,27181956,27188085,17q,6129,protein-coding
GOLGA2P1,chr8,87669616,87672521,8q,2905,pseudogene
PTCH2,chr1,45285516,45308735,1p,23219,protein-coding
ANKRD40,chr17,48770551,48785285,17q,14734,protein-coding
ZNF300P1,chr5,150310207,150325851,5q,15644,pseudogene
PRND,chr20,4702556,4709106,20p,6550,protein-coding
RN7SL72P,chr7,148135401,148135667,7q,266,pseudogene
SOX9,chr17,70117161,70122561,17q,5400,protein-coding
RN7SL71P,chr5,178893834,178894126,5q,292,NA
EPS8L1,chr19,55583388,55599291,19q,15903,protein-coding
AFAP1L2,chr10,116054583,116164515,10q,109932,protein-coding
BEND3P3,chr10,81444250,81444739,10q,489,pseudogene
UBE2Q2P10,chr8,87672753,87674150,8q,1397,pseudogene
DYNLT1,chr6,159057506,159065771,6q,8265,protein-coding
TDO2,chr4,156775890,156841558,4q,65668,protein-coding
TNNI2,chr11,1860219,1862910,11p,2691,protein-coding
ENG,chr9,130577291,130617035,9q,39744,protein-coding
RNU6-594P,chr12,57904847,57904918,12q,71,NA
RN7SL312P,chr12,57907700,57908023,12q,323,NA
YIF1A,chr11,66052051,66056641,11q,4590,protein-coding
MIR616,chr12,57912946,57913042,12q,96,NA
BUB1P1,chr10,129666145,129666751,10q,606,pseudogene
PRNT,chr20,4711928,4721314,20p,9386,ncRNA
RNA5SP337,chr11,21405347,21405455,11p,108,pseudogene
RN7SKP54,chr7,100701580,100701848,7q,268,pseudogene
CDY1,chrY,27768264,27771049,Yq,2785,protein-coding
RNU7-20P,chr7,148518104,148518165,7q,61,pseudogene
RN7SL569P,chr7,148587306,148587607,7q,301,pseudogene
RN7SKP96,chr4,87257471,87257767,4q,296,pseudogene
RNY5,chr7,148638580,148638658,7q,78,ncRNA
MIR4452,chr4,87463635,87463705,4q,70,NA
RNA5SP197,chr5,150857020,150857138,5q,118,pseudogene
MIR4653,chr7,100802754,100802836,7q,82,NA
MED15P4,chr2,132292760,132294561,2q,1801,pseudogene
DGAT2L7P,chr7,100845043,100846807,7q,1764,pseudogene
KPNA2,chr17,66031635,66042958,17q,11323,protein-coding
FAM71B,chr5,156588857,156593275,5q,4418,NA
TCEANC,chrX,13671225,13700083,Xp,28858,protein-coding
CTXN1,chr19,7989372,7991051,19p,1679,protein-coding
TCERG1L,chr10,132890654,133109984,10q,219330,protein-coding
RASSF2,chr20,4760669,4804291,20p,43622,protein-coding
FAM25C,chr10,49199649,49207818,10q,8169,protein-coding
SOX5P,chr8,88800790,88801916,8q,1126,NA
PSG11,chr19,43511808,43530664,19q,18856,protein-coding
DNAJC19,chr3,180701497,180707562,3q,6065,protein-coding
RNA5SP338,chr11,22709897,22709981,11p,84,pseudogene
IL7R,chr5,35852797,35879705,5p,26908,protein-coding
TRPT1,chr11,63991271,63993726,11q,2455,protein-coding
TAOK3,chr12,118587606,118810750,12q,223144,protein-coding
DIS3L2P1,chr2,233306744,233312128,2q,5384,pseudogene
KCNIP4,chr4,20730239,21950422,4p,1220183,protein-coding
NPAP1P2,chr10,81620329,81621562,10q,1233,pseudogene
MIR5001,chr2,233415184,233415283,2q,99,NA
RPL34,chr4,109541722,109551568,4q,9846,protein-coding
CTSLP6,chr10,81630131,81633659,10q,3528,pseudogene
PRDX2P3,chr5,178999157,178999742,5q,585,pseudogene
WDR90,chr16,699311,717833,16p,18522,protein-coding
RPS26P52,chr16,14016189,14016536,16p,347,pseudogene
TECRP1,chr4,87870818,87871276,4q,458,pseudogene
MIR1237,chr11,64136074,64136175,11q,101,NA
RAB9A,chrX,13707244,13728625,Xp,21381,protein-coding
LATS1,chr6,149979289,150039392,6q,60103,protein-coding
ACTR3BP2,chr2,92128694,92130496,2p,1802,pseudogene
SLC39A11,chr17,70642088,71088851,17q,446763,protein-coding
VN1R68P,chr16,34352609,34353327,16p,718,pseudogene
GAPDHP60,chr4,88128244,88129238,4q,994,pseudogene
RNU6-394P,chrX,65896100,65896206,Xq,106,pseudogene
POTEKP,chr2,132349325,132384839,2q,35514,pseudogene
VN1R69P,chr16,34368885,34369446,16p,561,pseudogene
WAC,chr10,28821422,28912041,10p,90619,protein-coding
SPOCK3,chr4,167654535,168155947,4q,501412,protein-coding
EEF1A2,chr20,62119366,62130505,20q,11139,protein-coding
NRN1L,chr16,67918708,67922758,16q,4050,protein-coding
MIR5705,chr4,88221647,88221735,4q,88,NA
TIMM44,chr19,7991603,8008805,19p,17202,protein-coding
ITSN1,chr21,35014706,35272165,21q,257459,protein-coding
TVP23CP2,chr16,14294214,14294836,16p,622,pseudogene
SLFNL1,chr1,41481269,41488909,1p,7640,protein-coding
RN7SL681P,chr4,88308038,88308326,4q,288,pseudogene
4-Mar,chr2,217122588,217236750,2q,114162,NA
CTSO,chr4,156845270,156875069,4q,29799,protein-coding
CSNK1A1P3,chr5,98169086,98169415,5q,329,pseudogene
DDX52,chr17,35969787,36003493,17q,33706,protein-coding
THOC7,chr3,63819546,63849579,3p,30033,protein-coding
MIR192,chr11,64658609,64658718,11q,109,NA
MIR194-2,chr11,64658827,64660921,11q,2094,NA
B3GNT8,chr19,41931264,41934635,19q,3371,protein-coding
RN7SKP15,chr12,27959015,27959323,12p,308,pseudogene
RN7SL114P,chr11,64817249,64817511,11q,262,NA
ANKRD44,chr2,197831741,198175897,2q,344156,protein-coding
RNU6-402P,chr5,98225435,98225537,5q,102,pseudogene
TRAPPC2,chrX,13730363,13752754,Xp,22391,protein-coding
MIR193B,chr16,14397824,14397906,16p,82,NA
MIR365A,chr16,14403142,14403228,16p,86,NA
SYTL3,chr6,159071046,159185908,6q,114862,protein-coding
HIGD1AP10,chr11,64913162,64913443,11q,281,pseudogene
UBE2MP1,chr16,34404063,34404612,16p,549,pseudogene
RNU2-23P,chr11,64915055,64915249,11q,194,pseudogene
C3orf83,chr3,12556433,12602558,3p,46125,NA
CHEK2P3,chr2,92145462,92151636,2p,6174,pseudogene
SLC25A1P4,chr16,34407687,34408464,16p,777,pseudogene
RN7SL274P,chr16,14695684,14695951,16p,267,pseudogene
ARC,chr8,143692405,143696833,8q,4428,protein-coding
RNU7-125P,chr16,14737645,14737706,16p,61,pseudogene
HEATR5A,chr14,31760994,31889788,14q,128794,protein-coding
RNY4,chr7,148660407,148660502,7q,95,ncRNA
GOLGA8J,chr15,30375158,30385702,15q,10544,protein-coding
PSKH1,chr16,67927175,67963581,16q,36406,protein-coding
RNY3,chr7,148680847,148680948,7q,101,ncRNA
PGAM1P8,chr11,64942506,64942973,11q,467,pseudogene
RNY1,chr7,148684228,148684340,7q,112,ncRNA
RNU6-650P,chr7,148730149,148730259,7q,110,pseudogene
COX6B1P1,chr7,148751053,148751265,7q,212,pseudogene
LUC7L3,chr17,48796905,48833574,17q,36669,protein-coding
RN7SL521P,chr7,148822785,148823078,7q,293,pseudogene
PPP2R2D,chr10,133747955,133773331,10q,25376,protein-coding
RNU6-1225P,chrX,67321910,67321974,Xq,64,pseudogene
SLC22A20,chr11,64981311,65010228,11q,28917,NA
OSTC,chr4,109571740,109588976,4q,17236,protein-coding
MOB3C,chr1,47073387,47082563,1p,9176,protein-coding
PRKRIRP4,chr11,23499614,23501976,11p,2362,NA
RUNX2,chr6,45295894,45632086,6p,336192,protein-coding
TMEM81,chr1,205052258,205053645,1q,1387,protein-coding
FBXW7,chr4,153242410,153457253,4q,214843,protein-coding
PDGFC,chr4,157681606,157892546,4q,210940,protein-coding
MKRN2,chr3,12598513,12625212,3p,26699,protein-coding
HNRNPA1P12,chr5,79654899,79655859,5q,960,pseudogene
TMEM151A,chr11,66059341,66064135,11q,4794,protein-coding
FKRP,chr19,47249303,47280245,19q,30942,protein-coding
RNU6-211P,chr5,79661545,79661651,5q,106,pseudogene
FDXR,chr17,72858619,72869156,17q,10537,protein-coding
TMEM18,chr2,667335,677439,2p,10104,protein-coding
IGKV1OR2-2,chr2,92222172,92223026,2p,854,pseudogene
SMARCAL1,chr2,217277137,217347776,2q,70639,protein-coding
RNU6-245P,chrX,67759285,67759391,Xq,106,pseudogene
CRBN,chr3,3190676,3221394,3p,30718,protein-coding
BTN1A1,chr6,26501449,26510650,6p,9201,protein-coding
RPL31P63,chrX,67819926,67820315,Xq,389,pseudogene
RN7SKP190,chr16,82226110,82226395,16q,285,pseudogene
RNU6-783P,chr11,23871324,23871428,11p,104,pseudogene
KRT18P51,chr4,145493390,145494135,4q,745,pseudogene
ATP5SL,chr19,41937223,41946622,19q,9399,NA
CD248,chr11,66081958,66084515,11q,2557,protein-coding
LRRC28,chr15,99791567,99930934,15q,139367,protein-coding
COX6CP12,chrX,67865168,67865369,Xq,201,pseudogene
CCT6P1,chr7,65216129,65228341,7q,12212,pseudogene
HHIP-AS1,chr4,145564074,145582509,4q,18435,ncRNA
RAB9AP4,chrY,20811557,20812165,Yq,608,pseudogene
RBBP5,chr1,205055270,205091143,1q,35873,protein-coding
ACTR3P2,chrX,67991165,67992421,Xq,1256,pseudogene
NF1P4,chr14,19485970,19495426,14q,9456,pseudogene
NFIB,chr9,14081842,14398982,9p,317140,protein-coding
ART5,chr11,3659733,3663546,11p,3813,protein-coding
CNN2P11,chr2,95391419,95391680,2q,261,pseudogene
RN7SKP232,chr5,151083850,151084139,5q,289,pseudogene
GUSBP8,chr5,98868332,98870315,5q,1983,pseudogene
TRAPPC2P7,chrY,20817406,20818076,Yq,670,pseudogene
RNU6-561P,chr2,79863988,79864089,2p,101,pseudogene
HSPD1P5,chr4,145766777,145768496,4q,1719,pseudogene
RPL7P24,chr5,79796151,79797219,5q,1068,pseudogene
MIR4304,chr12,123495214,123495275,12q,61,NA
UPF1,chr19,18942747,18979045,19p,36298,protein-coding
PSCA,chr8,143751726,143764142,8q,12416,protein-coding
CYB561,chr17,61509665,61523739,17q,14074,protein-coding
PGRMC2,chr4,129190397,129209984,4q,19587,protein-coding
PLD3,chr19,40854363,40886346,19q,31983,protein-coding
MIR4264,chr2,79876420,79876485,2p,65,NA
OFD1P6Y,chrY,20835919,20901083,Yq,65164,pseudogene
MED15P1,chr14,19498565,19502394,14q,3829,pseudogene
SMIM5,chr17,73629514,73637484,17q,7970,protein-coding
RIN1,chr11,66097713,66104311,11q,6598,protein-coding
RNU2-33P,chr14,96850961,96851152,14q,191,pseudogene
RN7SKP235,chr4,145956284,145956588,4q,304,pseudogene
DBIP2,chr5,79899202,79899463,5q,261,pseudogene
RAD17,chr5,68665120,68710628,5q,45508,protein-coding
PEBP1P1,chr14,96890037,96890546,14q,509,pseudogene
TMTC1,chr12,29653773,29937692,12p,283919,protein-coding
RPS23P4,chr4,146190962,146191710,4q,748,pseudogene
HMGB1,chr13,31032884,31191734,13q,158850,protein-coding
RPL23AP10,chr14,96922913,96923378,14q,465,pseudogene
RNU6-1083P,chr12,58199937,58200043,12q,106,pseudogene
RTN3P1,chr4,146296695,146297405,4q,710,pseudogene
SMARCE1P1,chr11,107274130,107275315,11q,1185,pseudogene
NMNAT1P4,chr4,146377157,146377996,4q,839,pseudogene
NEAT1,chr11,65190245,65213011,11q,22766,ncRNA
SMAD1-AS2,chr4,146418225,146424123,4q,5898,ncRNA
VWA9,chr15,65871091,65903627,15q,32536,NA
ESR1,chr6,151977826,152450754,6q,472928,protein-coding
SNORA22,chr7,65220513,65220646,7q,133,snoRNA
VN1R90P,chr19,23471422,23472147,19p,725,pseudogene
GOLGA8T,chr15,30427352,30437770,15q,10418,protein-coding
SMAD1-AS1,chr4,146435767,146438270,4q,2503,ncRNA
MIR26A2,chr12,58218392,58218475,12q,83,NA
RN7SL133P,chr12,123500727,123500976,12q,249,NA
ACSM4,chr12,7456880,7481320,12p,24440,protein-coding
VN1R91P,chr19,23473651,23473819,19p,168,pseudogene
SIGLEC20P,chr19,51688161,51694065,19q,5904,pseudogene
RNA5SP198,chr5,151255127,151255253,5q,126,pseudogene
ATM,chr11,108093211,108239829,11q,146618,protein-coding
ATPAF1,chr1,47098409,47139539,1p,41130,protein-coding
ZC2HC1B,chr6,144185573,144259483,6q,73910,protein-coding
LY6K,chr8,143781529,143786545,8q,5016,protein-coding
MALAT1,chr11,65265233,65273940,11q,8707,ncRNA
CYP26C1,chr10,94821021,94828454,10q,7433,protein-coding
RNU6-912P,chr7,65279659,65279762,7q,103,pseudogene
RN7SL134P,chr16,82878060,82878358,16q,298,pseudogene
SNRPGP19,chr11,65281874,65282394,11q,520,pseudogene
SSSCA1-AS1,chr11,65337131,65337744,11q,613,NA
SIGLEC21P,chr19,51702111,51704705,19q,2594,pseudogene
POLI,chr18,51795774,51847636,18q,51862,protein-coding
RPS2P39,chr11,108561016,108561683,11q,667,pseudogene
LINC01095,chr4,147030607,147043065,4q,12458,ncRNA
MIR4690,chr11,65403781,65403840,11q,59,NA
SMCR8,chr17,18218624,18226517,17p,7893,protein-coding
PRODH,chr22,18900294,18924066,22q,23772,protein-coding
MIR4489,chr11,65416663,65416724,11q,61,NA
RANBP9,chr6,13621730,13711796,6p,90066,protein-coding
CCL3L3,chr17,34522268,34524157,17q,1889,protein-coding
MIR3182,chr16,83541951,83542013,16q,62,NA
SIGLEC22P,chr19,51714336,51715344,19q,1008,pseudogene
RN7SL309P,chr11,65463006,65463306,11q,300,pseudogene
GUCY2D,chr17,7905912,7923657,17p,17745,protein-coding
KRT8P26,chr11,65494410,65495685,11q,1275,pseudogene
SERBP1P1,chrX,68003315,68004909,Xq,1594,pseudogene
VN1R92P,chr19,23627064,23627991,19p,927,pseudogene
GPM6BP2,chrY,20903729,20903872,Yq,143,pseudogene
HMGN4,chr6,26538633,26546482,6p,7849,protein-coding
ZNF725P,chr19,23675230,23695458,19p,20228,pseudogene
CYCSP29,chr11,108693060,108693377,11q,317,pseudogene
USP9YP2,chrY,20938165,20941313,Yq,3148,pseudogene
PPDPF,chr20,62152077,62153559,20q,1482,protein-coding
HMGN1P35,chrX,68393967,68394560,Xq,593,pseudogene
ART1,chr11,3666358,3685646,11p,19288,protein-coding
SCMH1,chr1,41492872,41707826,1p,214954,protein-coding
LINC00269,chrX,68399400,68429767,Xq,30367,ncRNA
FAM138B,chr2,114334959,114336429,2q,1470,ncRNA
HSCB,chr22,29138019,29153503,22q,15484,protein-coding
